"N0","Nend","Ndead","T","P"
492134.091881431,478273.720808505,13860.3710729262,240,0
469024.126605951,458919.968168952,10104.1584369985,240,0
314399.52171201,300251.124826511,14148.3968854994,240,0
324024.880926999,314866.072728898,9158.80819810048,240,0
224286.372742398,219786.924896363,4499.44784603486,240,0
228163.425567851,209385.28035781,18778.1452100403,240,0
114451.451838198,130352.366691912,-15900.9148537137,240,0
108420.475573866,128565.676120588,-20145.2005467219,240,0
61266.2793101255,68232.6174513259,-6966.33814120032,240,0
59144.8834654475,77528.9534768629,-18384.0700114154,240,0
38558.2687924251,39534.7195211698,-976.450728744712,240,0
37734.042172268,38933.526075354,-1199.48390308603,240,0
489886.315317203,487248.988999296,2637.32631790644,240,0
484808.342658462,478858.534411511,5949.80824695079,240,0
331521.501810948,324867.358723251,6654.14308769704,240,0
305548.824615863,303409.997427974,2138.82718788891,240,0
191135.163448235,199660.006395666,-8524.84294743111,240,0
200906.420026951,201529.928776644,-623.508749692031,240,0
106918.092604987,126187.437076771,-19269.344471784,240,0
109088.898556459,126357.157861402,-17268.2593049428,240,0
57578.5489636897,69188.5074862162,-11609.9585225265,240,0
59144.8834654475,78093.8143586506,-18948.9308932031,240,0
32976.6751853402,32534.1619397968,442.513245543378,240,0
33419.8066972443,35867.7980171814,-2447.99131993716,240,0
487541.952120714,479540.910808421,8001.04131229321,239,0
498100.748085857,482856.744644544,15244.0034413126,239,0
323650.519406994,311788.16846057,11862.3509464243,239,0
305455.7996748,291998.728495887,13457.0711789122,239,0
202955.844234528,206882.469114132,-3926.62487960377,239,0
208044.099425606,195570.361267976,12473.7381576307,239,0
117900.698146332,130692.978656467,-12792.2805101346,239,0
109841.3836344,125508.79149601,-15667.40786161,239,0
62053.9380803374,73988.2912919849,-11934.3532116476,239,0
57891.4654481703,77367.6430785725,-19476.1776304022,239,0
37210.5047336618,37360.0091950264,-149.504461364602,239,0
36613.1131614456,41268.4147091816,-4655.30154773605,239,0
1033317.07551943,1079459.72069999,-46142.6451805654,240,0
1017385.82410875,1062820.02863315,-45434.2045243944,240,0
487151.338694624,511724.582647324,-24573.2439526994,240,0
492134.091881431,501527.603232558,-9393.51135112689,240,0
337719.528485818,334619.023096488,3100.50538933068,240,0
